store_name,store_code,area
스타벅스 전주한옥마을점,36473173,객사
한상차림,1636482687,객사
정밀 베이커리,2031160954,객사
혜원가,36419424,객사
치팅데이 전주객리단길본점,1839297540,객사
전주 남부시장 한국닭집,1972173017,객사
코믹스월드,37997902,객사
꽃살희 전주한옥마을본점,1963191177,객사
텀벙,2045374294,객사
연막창 전주객사점,2073924769,객사
이자카야굴뚝,2087380227,객사
필그린커피로스터스,2079593238,객사
행원,220469525,객사
새참국수,13125737,객사
전주장,1195822490,객사
빽다방 전주객사1호점,37162383,객사
버터북 전주점,1121798147,객사
코지,1428678693,객사
진미반점,1020884711,객사
대추나무사랑걸렸네,2099126761,객사
컴포즈커피 전주신라스테이점,2048151688,객사
금암면옥 고사동식탁,37089658,객사
티앤토르테,1168805501,객사
롤링파스타 전주객사점,1633294626,객사
낙곱새끝판왕 객사점,2088155615,객사
미카도스시 전주객사점,1194739455,객사
Mood indigo,1501691220,객사
라화쿵부 고사점,1087623235,객사
루어스,1254811074,객사
한스델리 전주점,31028705,객사
고을돌솥밥,1639505825,객사
타규,1399209093,객사
코토리,1531341075,객사
모던스퀘어 영화의거리 시작점,1819148606,객사
면식당 전주객사점,1666684350,객사
다사랑치킨 중앙점,2076776034,객사
핵밥 전주객사점,2030677900,객사
현대옥 전주시청점,1473302426,객사
동우,2031271948,객사
바이아커피스토어,1034629974,객사
독도쭈꾸미 객사점,1078597476,객사
이디야커피 전주고사점,16802499,객사
도파민그라운드,1337214634,객사
씨에스타,1066313912,객사
맘스터치 전주객사점,37038173,객사
문턱,2094129478,객사
배스킨라빈스 전주고사,335262238,객사
이탈리안 에스프레소바 카페닉,1990516638,객사
작은바닷고기,1084072004,객사
햅삐케이크,1469427139,객사
유쿠키숍,1870253069,객사
소프,1279430775,객사
시장골목집 객리단길점,1367704274,객사
전주관광호텔 더 테라스,2079630504,객사
객사골방,1933589831,객사
중앙동고깃집,1146796327,객사
옐로우팜 전주객사점,2066468826,객사
최우영식당,1307779666,객사
용성양,1544826104,객사
감자면가 전주점,2075962515,객사
화녕 객리단길본점,1074025900,객사
듣고갈래,2015114278,객사
파타,2047719173,객사
풍문,1305378240,객사
꽃,770294203,객사
용이네,31334911,객사
행복은간장밥 전주객사점,1130493362,객사
화덕초대파불고기 전주고사점,57902770,객사
역전우동0410 전주객사점,1266671109,객사
하이오뎅 객리단길 본점,1762671407,객사
워커비 전주,1432293077,객사
한국식당,11806856,객사
커리우먼,1479591013,객사
DISTRICT 7,2044619724,객사
백소정 객사점,1825771559,객사
흐엉꾸에하롱베이퍼,219577800,객사
수정삼겹,1877254447,객사
여덟개의달,1671001820,객사
태조면가 본점,36461838,객사
라쿵푸마라탕 전주점,1138268426,객사
너드,2047482258,객사
동대문엽기떡볶이 전주중앙점,1283875294,객사
비요리 본점,1622865623,객사
올드빅커피,1008325110,객사
한라실비집,1585651306,객사
솔담한식당,16985825,객사
고홈,1248538168,객사
우정식당,19816075,객사
매미식당,1770572296,객사
카페 섬수,1253889935,객사
엔소,1631468678,객사
한미반점,16799904,객사
세번째서랍,1662630082,객사
나날,1052540736,객사
그랩앤고 크레페 객사점,2052261136,객사
영동슈퍼닭발 본점,1760035626,객사
PNB 풍년제과 전동점,1552071530,객사
유오,1048082380,객사
생생호프 객리단길점,1197487967,객사
이지비부대찌개 고사점,2091869067,객사
신포우리만두 전주훼미리센타점,11761585,객사
