업체코드,ID(작성자),리뷰 내용,작성일,평가 카테고리
1710381899,Yaeri,완전맛있어요ㅠㅠ,2026년 6월 1일 월요일,음식이 맛있어요_재료가 신선해요_양이 많아요_특별한 메뉴가 있어요_인테리어가 멋져요_
1710381899,심심한너구리,다른지역치히로몇번가봤는데이집이제일바삭히고깨끗하게튀겨논느낌이예요같은브랜드여도지점마다맛이다달라서가본중에는요기가젤맛있습니다ㅜㅜ연어초밥도맛있고잘먹을게요,2026년 6월 1일 월요일,음식이 맛있어요_재료가 신선해요_양이 많아요_특별한 메뉴가 있어요_
1710381899,유딘YUDIN,전주맛집이라고소문만듣다가드디어와봤네요!!호르몬동이랑텐동시켰는데짱맛있어요😋😋데이트코스로추천합니다!!분위기도좋고토토로너무귀여워요..,2026년 5월 31일 일요일,음식이 맛있어요_비싼 만큼 가치있어요_인테리어가 멋져요_야외공간이 멋져요_친절해요_
1710381899,김규태61,전주여행피날레로지인이소개한치히로음식깔끔하고분위기도좋네요특히아들들이생연어초밥순삭하네요~~~~,2026년 5월 31일 일요일,인테리어가 멋져요_친절해요_매장이 청결해요_음식이 맛있어요_
1710381899,lye****,인스타에서만봤는데궁금해서결국갔는데맛있네요다음에는친구들이랑가야겠어요,2026년 5월 31일 일요일,매장이 넓어요_혼밥하기 좋아요_매장이 청결해요_음식이 맛있어요_재료가 신선해요_
1710381899,ins****,맛잇어요~,2026년 5월 31일 일요일,음식이 맛있어요_재료가 신선해요_
1710381899,선한영향력7,전주맛집!여행와서먹으니더맛있어요ㅎㅎㅎ,2026년 5월 31일 일요일,음식이 맛있어요_재료가 신선해요_특별한 메뉴가 있어요_뷰가 좋아요_야외공간이 멋져요_
1710381899,dai****,친구들이랑왔는데너무맛있게먹었어요~~!일식집하면꼭생각나는곳이에요번창하세요~~~,2026년 5월 31일 일요일,음식이 맛있어요_뷰가 좋아요_
1710381899,YHL0729,항상시원하고청결하고음식도정갈해요😋직원분들도친절하시고덮밥먹고싶으면꼭치히로옵니다:)메뉴도많아서좋아요!,2026년 5월 31일 일요일,음식이 맛있어요_재료가 신선해요_반찬이 잘 나와요_매장이 넓어요_매장이 청결해요_
1710381899,낄낄굿,처음와봤는데너무맛있습니당!!그리구직원분들이친절해용!!☺️☺️,2026년 5월 31일 일요일,음식이 맛있어요_양이 많아요_고기 질이 좋아요_매장이 넓어요_친절해요_
1710381899,gwa****,청주에서가봤는데역시나본점은다르네요전주맛집입니다~,2026년 5월 30일 토요일,음식이 맛있어요_
1710381899,sup****,현지인이인정하는전주맛집1달에1번씩생각나서여자친구랑방문했는데이번에는텐동이랑소바+돈까스세트시켰어요완전기대했던그맛그대로!!잘먹었습니다😆,2026년 5월 30일 토요일,특별한 메뉴가 있어요_음식이 맛있어요_현지 맛에 가까워요_사진이 잘 나와요_
1710381899,gpd****,여긴올때마다맛있네요ㅎㅎ오랜만에방문했는데전체적으로뭐하나빠질것없이맛있어요!!,2026년 5월 30일 토요일,음식이 맛있어요_재료가 신선해요_인테리어가 멋져요_매장이 청결해요_
1710381899,왜이렇게 어렵니,대기없이먹을수있어서너무좋았고맛있고깔끔하게먹을수있어좋아요ㅎㅎ,2026년 5월 30일 토요일,음식이 맛있어요_재료가 신선해요_양이 많아요_특별한 메뉴가 있어요_
1710381899,민트020,더워서소바먹으러왔어요시원해서너무맛있고좋아용,2026년 5월 30일 토요일,음식이 맛있어요_인테리어가 멋져요_매장이 넓어요_친절해요_
1710381899,꼬맹이8966,전주객사방문하다점심을어디서먹지?하다가딸이추천더우니소바도먹고다른것도먹자하여방문함아이는전주두번째방문이어서여길오자고해서전주온김에와봤어요대기가앞에2팀있었네요다행이기다리는시간이짧았어요만족합니다~~^^주문한음식^^👍👍👍맛있어요만족해요또방문할예정입니다~~^^♡,2026년 5월 30일 토요일,재료가 신선해요_음식이 맛있어요_인테리어가 멋져요_매장이 청결해요_친절해요_
1710381899,mhj39mhj,분위기도좋고음식도맛있어요!웨이팅이있어도금방들어갑니다.,2026년 5월 30일 토요일,재료가 신선해요_
1710381899,faw****,재방문의사있습니다.맛있어요!!,2026년 5월 30일 토요일,음식이 맛있어요_매장이 넓어요_친절해요_
1710381899,whatsyourname,맛있게잘먹고갑니다,2026년 5월 29일 금요일,음식이 맛있어요_재료가 신선해요_인테리어가 멋져요_매장이 넓어요_
1710381899,최인호0,너무맛있어보여서바로못찍고중간에찍습니다.국물이죽여주네요추천합니다,2026년 5월 29일 금요일,음식이 맛있어요_재료가 신선해요_잡내가 적어요_사진이 잘 나와요_인테리어가 멋져요_
1710381899,bae****,딸아이가너무먹고파해서재방문했어요역시나최고입니다치히로는객사점이죠,2026년 5월 29일 금요일,음식이 맛있어요_재료가 신선해요_인테리어가 멋져요_
1710381899,Kenaz26,전주맛집~오랜만에텐동먹으러와서행복함튀김이랑밥에양념이딱취향이다,2026년 5월 29일 금요일,음식이 맛있어요_양이 많아요_친절해요_
